Scenario,Y,CCC,IPROCFROM,IPROCTO,FLOW,Value
Optiflow_DEDKNOSE_GridToSeq,2050,SWEDEN,CO2_BIOGEN,CO2,CO2_FLOW_BIOGEN,15.914821243954284
Optiflow_DEDKNOSE_GridToSeq,2050,SWEDEN,CO2_DAC,CO2_DAC_Total,CO2_FLOW_DAC,0.013120244066773212
Optiflow_DEDKNOSE_GridToSeq,2050,SWEDEN,CO2,CO2_Grid_In,CO2_FLOW,15.916133268360962
Optiflow_DEDKNOSE_GridToSeq,2050,SWEDEN,CO2_Before_Use,CO2_Use,CO2_FLOW_USE,6.6558220312930025
Optiflow_DEDKNOSE_GridToSeq,2050,SWEDEN,CO2_DAC_50,CO2_DAC,CO2_FLOW_DAC,0.013120244066773212
Optiflow_DEDKNOSE_GridToSeq,2050,SWEDEN,CO2_DAC_Total,CO2,CO2_FLOW_DAC,0.0013120244066773211
Optiflow_DEDKNOSE_GridToSeq,2050,SWEDEN,CO2_DAC_Total,CO2_Seq_Sum,CO2_FLOW_SEQ,0.01180821966009589
Optiflow_DEDKNOSE_GridToSeq,2050,SWEDEN,CO2_Grid_In,CO2_Grid_Out,CO2_FLOW_NOSTO,6.6558220312930025
Optiflow_DEDKNOSE_GridToSeq,2050,SWEDEN,CO2_Grid_In,CO2_Seq_Sum,CO2_FLOW_SEQ,7.1070846156931795
Optiflow_DEDKNOSE_GridToSeq,2050,SWEDEN,CO2_Grid_In,Exim_CO2_Pipeline,CO2_FLOW,2.8584071092011585
Optiflow_DEDKNOSE_GridToSeq,2050,SWEDEN,CO2_Grid_Out,CO2_Before_Use,CO2_FLOW_OUT,6.6558220312930025
Optiflow_DEDKNOSE_GridToSeq,2050,SWEDEN,CO2_Seq_Sum,CO2_Seq_Buffer,CO2_FLOW_SEQ_SUM,7.118892835353275
Optiflow_DEDKNOSE_GridToSeq,2050,SWEDEN,CO2_Source_Biogen,CO2_BIOGEN,CO2_SOURCE_FLOW_BIOGEN,15.914821243954284
Optiflow_DEDKNOSE_GridToSeq,2050,SWEDEN,CO2_Source_DAC,CO2_DAC_50,CO2_SOURCE_FLOW_DAC,0.013120244066773212
Optiflow_DEDKNOSE_GridToSeq,2050,SWEDEN,CO2_Use,EMethanol_synthesis_50,CO2_FLOW_EME,6.6558220312930025
Optiflow_DEDKNOSE_GridToSeq,2050,SWEDEN,Exim_CO2_Pipeline,CO2_Grid_In,CO2_FLOW,0.7051804878263813
